Date,Ozone,Solar.R,Wind,Temp,Month,Day
5/1/76,41,190,7.4,67,5,1
5/2/76,36,118,8,72,5,2
5/3/76,12,149,12.6,74,5,3
5/4/76,18,313,11.5,62,5,4
5/5/76,NA,NA,14.3,56,5,5
5/6/76,28,NA,14.9,66,5,6
5/7/76,23,299,8.6,65,5,7
5/8/76,19,99,13.8,59,5,8
5/9/76,8,19,20.1,61,5,9
5/10/76,NA,194,8.6,69,5,10
5/11/76,7,NA,6.9,74,5,11
5/12/76,16,256,9.7,69,5,12
5/13/76,11,290,9.2,66,5,13
5/14/76,14,274,10.9,68,5,14
5/15/76,18,65,13.2,58,5,15
5/16/76,14,334,11.5,64,5,16
5/17/76,34,307,12,66,5,17
5/18/76,6,78,18.4,57,5,18
5/19/76,30,322,11.5,68,5,19
5/20/76,11,44,9.7,62,5,20
5/21/76,1,8,9.7,59,5,21
5/22/76,11,320,16.6,73,5,22
5/23/76,4,25,9.7,61,5,23
5/24/76,32,92,12,61,5,24
5/25/76,NA,66,16.6,57,5,25
5/26/76,NA,266,14.9,58,5,26
5/27/76,NA,NA,8,57,5,27
5/28/76,23,13,12,67,5,28
5/29/76,45,252,14.9,81,5,29
5/30/76,115,223,5.7,79,5,30
5/31/76,37,279,7.4,76,5,31
6/1/76,NA,286,8.6,78,6,1
6/2/76,NA,287,9.7,74,6,2
6/3/76,NA,242,16.1,67,6,3
6/4/76,NA,186,9.2,84,6,4
6/5/76,NA,220,8.6,85,6,5
6/6/76,NA,264,14.3,79,6,6
6/7/76,29,127,9.7,82,6,7
6/8/76,NA,273,6.9,87,6,8
6/9/76,71,291,13.8,90,6,9
6/10/76,39,323,11.5,87,6,10
6/11/76,NA,259,10.9,93,6,11
6/12/76,NA,250,9.2,92,6,12
6/13/76,23,148,8,82,6,13
6/14/76,NA,332,13.8,80,6,14
6/15/76,NA,322,11.5,79,6,15
6/16/76,21,191,14.9,77,6,16
6/17/76,37,284,20.7,72,6,17
6/18/76,20,37,9.2,65,6,18
6/19/76,12,120,11.5,73,6,19
6/20/76,13,137,10.3,76,6,20
6/21/76,NA,150,6.3,77,6,21
6/22/76,NA,59,1.7,76,6,22
6/23/76,NA,91,4.6,76,6,23
6/24/76,NA,250,6.3,76,6,24
6/25/76,NA,135,8,75,6,25
6/26/76,NA,127,8,78,6,26
6/27/76,NA,47,10.3,73,6,27
6/28/76,NA,98,11.5,80,6,28
6/29/76,NA,31,14.9,77,6,29
6/30/76,NA,138,8,83,6,30
7/1/76,135,269,4.1,84,7,1
7/2/76,49,248,9.2,85,7,2
7/3/76,32,236,9.2,81,7,3
7/4/76,NA,101,10.9,84,7,4
7/5/76,64,175,4.6,83,7,5
7/6/76,40,314,10.9,83,7,6
7/7/76,77,276,5.1,88,7,7
7/8/76,97,267,6.3,92,7,8
7/9/76,97,272,5.7,92,7,9
7/10/76,85,175,7.4,89,7,10
7/11/76,NA,139,8.6,82,7,11
7/12/76,10,264,14.3,73,7,12
7/13/76,27,175,14.9,81,7,13
7/14/76,NA,291,14.9,91,7,14
7/15/76,7,48,14.3,80,7,15
7/16/76,48,260,6.9,81,7,16
7/17/76,35,274,10.3,82,7,17
7/18/76,61,285,6.3,84,7,18
7/19/76,79,187,5.1,87,7,19
7/20/76,63,220,11.5,85,7,20
7/21/76,16,7,6.9,74,7,21
7/22/76,NA,258,9.7,81,7,22
7/23/76,NA,295,11.5,82,7,23
7/24/76,80,294,8.6,86,7,24
7/25/76,108,223,8,85,7,25
7/26/76,20,81,8.6,82,7,26
7/27/76,52,82,12,86,7,27
7/28/76,82,213,7.4,88,7,28
7/29/76,50,275,7.4,86,7,29
7/30/76,64,253,7.4,83,7,30
7/31/76,59,254,9.2,81,7,31
8/1/76,39,83,6.9,81,8,1
8/2/76,9,24,13.8,81,8,2
8/3/76,16,77,7.4,82,8,3
8/4/76,78,NA,6.9,86,8,4
8/5/76,35,NA,7.4,85,8,5
8/6/76,66,NA,4.6,87,8,6
8/7/76,122,255,4,89,8,7
8/8/76,89,229,10.3,90,8,8
8/9/76,110,207,8,90,8,9
8/10/76,NA,222,8.6,92,8,10
8/11/76,NA,137,11.5,86,8,11
8/12/76,44,192,11.5,86,8,12
8/13/76,28,273,11.5,82,8,13
