Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,ENGL102,Composition and Rhetoric A,540,93
2023 - Fall,BOT105,General Botany,329,74
2023 - Fall,MATH101I,College Algebra Is,172,61
2023 - Fall,NAS104,Intro To Nat American Studies,320,60
2023 - Fall,SCI100,Becoming A Stem Professional,413,60
2023 - Fall,MATH1,Support For Math 101i,172,58
2023 - Fall,COMM100,Fund Speech Comm,462,55
2023 - Fall,MATH102,Algebra and Elementary Functio,159,46
2023 - Fall,CHEM109,General Chemistry,239,42
2023 - Fall,GSP101,Geospatial Concepts,226,38
2023 - Fall,ENGL104,Accelerated Comp and Rhetoric,194,35
2023 - Fall,MATH101,College Algebra,141,34
2023 - Fall,BIOL105,Principles of Biology,190,34
2023 - Fall,MATH110,Calculus II,71,31
2023 - Fall,PSCI110,American Government,289,30
2023 - Fall,NAS200,Indian In Am Hist,159,29
2023 - Fall,MATH109,Calculus I,97,28
2023 - Fall,HED100,Sound Mind Sound Body,87,25
2023 - Fall,MATH105,Calculus and Bio Sci and Nat R,97,24
2023 - Fall,ZOOL110,Introductory Zoology,92,23
2023 - Fall,BOT198,Bot 105 Supplemental Instruct,110,23
2023 - Fall,PSYC104,Intro Psychology,127,23
2023 - Fall,STAT108,Elementary Statistics,151,23
2023 - Fall,STAT109,Introductory Biostatistics,152,23
2023 - Fall,ENGL110,Writing Lab,55,22
2023 - Fall,CHEM198,Supplemental Instruction,106,22
2023 - Fall,AHSS101,The Stories We Tell,96,21
2023 - Fall,PE259,Yoga,145,21
2023 - Fall,PHIL100,Logic,105,20
2023 - Fall,ES106,Intro To Black Studies,56,19
2023 - Fall,CHEM110,General Chemistry,99,18
2023 - Fall,CHEM107,Fundamentals of Chemistry,111,18
2023 - Fall,GSP270,Introduction To Gis,109,16
2023 - Fall,PSYC109,Intro Psychological Statistics,44,15
2023 - Fall,BIOL102,Human Biology,67,15
2023 - Fall,ENGR280,Green Building,76,15
